Rank,Chg,Company,Country,Traded on,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
1,,Johnson & Johnson,USA,NYSE:JNJ,94.19,88.82,85.16,79.99,93.78,82.59,82.06,81.6,76.5,71.89
2,,Sinopharm,CHN,SEHK:1099,81.31,83.64,84.06,80.19,75.68,71.75,60.18,48.75,43.63,36.56
3,,Roche,SUI,SIX:ROG,80.31,66.42,68.48,69.77,67.83,62.99,63.85,56.86,57.37,50.11
4,7,Eli Lilly & Co,USA,NYSE:LLY,65.18,45.03,34.12,28.54,28.32,24.54,22.32,21.49,22.9,21.22
5,1,Merck & Co.,USA,NYSE:MRK,65.01,64.17,60.12,59.28,48.7,41.52,46.84,42.3,40.1,39.8
6,1,Pfizer,USA,NYSE:PFE,62.58,63.63,59.55,100.33,81.29,41.91,41.17,40.83,52.54,52.82
7,1,AbbVie,USA,NYSE:ABBV,61.16,56.33,54.32,58.05,56.2,45.8,33.27,32.75,28.22,25.56
8,1,AstraZeneca,GBRSWE,LSE:AZN,58.74,54.07,45.81,44.35,37.42,26.62,24.38,22.09,22.47,23.0
9,,Novartis,SUI,NYSE:NVS,54.53,50.32,45.44,50.55,51.63,48.66,47.45,44.75,49.11,48.52
10,2,Sanofi,FRA,NYSE:SNY,52.15,42.68,46.84,46.86,43.24,41.27,39.28,39.07,42.91,36.57
11,3,Bayer,GER,FWB:BAYN,49.56,51.07,51.72,53.88,49.46,47.4,48.02,45.06,37.94,25.27
12,2,Novo Nordisk,DEN,NYSE:NVO,48.86,40.52,33.83,25.46,21.66,19.52,18.3,6.99,18.77,16.61
13,3,Bristol Myers Squibb,USA,Nasdaq:BMY,48.19,48.3,45.01,46.16,46.39,42.52,26.15,22.56,20.8,19.43
14,1,GlaxoSmithKline,GBR,LSE:GSK,44.59,39.28,38.63,36.14,46.91,46.17,43.92,43.14,42.05,34.79
15,2,Abbott Laboratories,USA,Nasdaq:ABT,44.33,41.95,40.11,43.65,43.08,34.61,31.9,30.6,27.39,20.85
16,,Shanghai Pharmaceuticals,CHN,SSE:601607,39.4,38.65,36.68,32.33,31.82,29.29,27.5,23.45,19.28,17.8
17,,Amgen,USA,Nasdaq:AMGN,36.75,33.42,28.19,26.32,25.98,25.42,23.4,23.7,22.8,22.99
18,,Boehringer Ingelheim,GER,Private,,29.37,27.7,25.9,22.5,22.4,21.75,21.67,17.54,16.41
19,,Takeda Pharmaceutical,JPN,TYO:4502,,29.31,30.24,30.34,29.31,27.76,31.17,19.1,16.7,15.96
20,,Gilead Sciences,USA,Nasdaq:GILD,29.44,28.75,27.12,27.28,27.31,24.69,22.45,22.13,25.7,30.39
21,,Siemens Healthineers,GER,FWB:SHL,,23.21,23.32,23.09,20.61,16.56,16.62,15.37,16.56,14.25
22,,Merck Group,GER,ETR: MRK,,23.18,22.79,23.64,21.4,20.08,18.25,16.48,18.7,16.62
23,,Jointown Pharmaceutical,CHN,SSE:600998,,21.32,21.15,19.81,18.04,16.34,14.67,12.85,10.9,9.07
24,,GE Healthcare,USA,Nasdaq:GEHC,20.63,19.67,19.55,18.34,17.73,18.01,19.94,19.78,19.02,18.21
25,,Teva Pharmaceuticals,ISR,Nasdaq:TEVA,17.26,16.54,15.85,14.93,15.88,16.66,16.89,18.9,22.4,21.9
26,,Otsuka Holdings,JPN,TYO:4578,,15.78,14.23,13.05,11.65,11.06,10.85,10.04,9.64,9.29
27,,Kenvue,USA,NYSE:KVUE,15.12,15.46,15.44,14.95,,,,,,
28,2,Haleon,GBR,LSE:HLN,15.01,14.15,14.29,13.14,11.77,,,,,
29,,Regeneron Pharmaceuticals,USA,Nasdaq:REGN,14.34,14.2,13.12,12.17,16.07,8.5,7.86,6.71,5.87,4.86
30,2,Viatris,USA,Nasdaq:VTRS,14.3,14.69,15.43,16.22,17.81,11.95,,,,
31,,Astellas Pharma,JPN,TYO:4503,,12.68,10.54,10.87,10.08,10.85,11.29,12.27,12.07,12.63
32,,Daiichi Sankyo,JPN,TYO:4568,,12.51,10.52,8.4,6.87,6.33,6.45,6.11,6.31,6.28
33,,Vertex Pharmaceuticals,USA,Nasdaq:VRTX,12.0,11.02,9.87,8.93,7.57,6.2,4.16,3.04,2.16,1.68
34,,Baxter International,USA,NYSE:BAX,11.24,10.64,14.81,15.11,12.78,11.63,11.36,11.13,10.56,10.16
